 *  Header:   lsnudge_time1 (s)   lsnudge_time2 (s)
                     0.0                1.0e30 
 *  Profile.   Note: values will be ignored if nudging for that variable is off.
 *    z (m)   theta (K)    qv (g/kg)  u (m/s, grnd-reltv) v (m/s, grnd-reltv)
    2297.2222     311.4861   13.167596      40.0000      -0.0000
    2330.0000     311.6500   13.075006      40.0000      -0.0000
    2363.8889     311.8195   12.979632      40.0000      -0.0000
    2398.8889     311.9944   12.881557      40.0000      -0.0000
    2435.0000     312.1750   12.780815      40.0000      -0.0000
    2472.2222     312.3611   12.677414      40.0000      -0.0000
    2510.5557     312.5528   12.571453      40.0000      -0.0000
    2550.0000     312.7500   12.462942      40.0000      -0.0000
    2590.5557     312.9528   12.351931      40.0000      -0.0000
    2632.2222     313.1611   12.238488      40.0000      -0.0000
    2675.0000     313.3750   12.122639      40.0000      -0.0000
    2718.8889     313.5945   12.004438      40.0000      -0.0000
    2763.8889     313.8195   11.883903      40.0000      -0.0000
    2810.0000     314.0500   11.761171      40.0000      -0.0000
    2857.2222     314.2861   11.636247      40.0000      -0.0000
    2905.5557     314.5278   11.509177      40.0000      -0.0000
    2955.0000     314.7750   11.380035      40.0000      -0.0000
    2980.0000     314.9000   11.315064      40.0000      -0.0000
